"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
11000,"36 Months",10,"NOne",33600,"Debt Consolidation","CA",11.36,"None",37223.53125,680,1,0,3,"None",10908,92.4,5,1000,"None","0"
20000,"36 Months",8,"NOne",71004,"Debt Consolidation","AZ",23.68,"None",36160.425,695,2,0,6,"None",20280,83.1,38,302,"None","0"
12000,"36 Months",10,"MORTGAGE",60000,"Debt Consolidation","CA",3.3,"None",34466.23472,710,0,48,14,"None",7018,26.7,26,1000,"None","0"
25000,"36 Months",8,"MORTGAGE",74000,"0","CA",5.34,"None",36638.08611,725,3,0,16,"None",15573,35,39,311,"None","0"
10000,"36 Months",5,"NOne",64500,"Medical","AZ",10.33,"None",36507.27153,740,2,0,6,"None",14880,58,21,1000,"None","0"
5000,"36 Months",3,"MORTGAGE",120000,"Debt Consolidation","CA",3,"None",37075.27361,705,0,0,13,"Four",8271,28.8,25,299,"One","0"
6400,"36 Months",10,"MORTGAGE",103000,"Debt Consolidation","",7.74,"None",34478.30417,695,1,40,10,"None",9154,41.4,37,0,"None","0"
8000,"36 Months",9,"NOne",53000,"Debt Consolidation","AZ",2.08,"None",37795.32917,690,2,0,4,"None",1195,20.3,7,0,"None","0"
13600,"36 Months",2,"MORTGAGE",83600,"Debt Consolidation","",19.11,"None",37087.05208,735,1,0,7,"None",19726,37.9,25,736,"None","0"
12000,"36 Months",5,"NOne",60000,"Debt Consolidation","AL",16.52,"None",31650.16667,685,0,26,11,"None",14446,57.6,26,300,"None","0"
8400,"36 Months",1,"MORTGAGE",84000,"0","",8.36,"None",33560.25,795,1,0,8,"None",821,1.8,15,208,"None","0"
20000,"36 Months",0.5,"NOne",110000,"0","CA",3.96,"Eight",36370.19653,680,3,20,5,"None",10630,81.8,12,196,"None","0"
8500,"36 Months",8,"NOne",27000,"Debt Consolidation","CA",29.07,"None",37075.28681,695,0,0,7,"None",6261,82.4,13,0,"None","0"
5500,"36 Months",5,"NOne",20400,"Home Improvement","CA",20.82,"None",39235.25764,685,0,0,3,"None",2717,69.7,5,0,"None","0"
1500,"36 Months",10,"MORTGAGE",83000,"Debt Consolidation","",15.9,"None",35024.30278,695,0,0,9,"None",24387,92,23,0,"None","0"
12000,"36 Months",1,"NOne",50000,"Debt Consolidation","",11.45,"Eight",37813.42292,690,0,13,9,"Four",684,6.1,13,548,"None","0"
12000,"36 Months",5,"NOne",60000,"0","AZ",19.4,"None",30000,760,0,0,11,"None",13659,22,17,158,"None","0"
13000,"36 Months",1,"NOne",52000,"Debt Consolidation","CA",13.64,"None",37357.40694,675,0,0,7,"None",10525,80.3,8,1,"None","0"
1850,"36 Months",6,"NOne",33900,"Debt Consolidation","CA",11.61,"None",31790.3125,670,1,33,6,"Four",1695,56,14,325,"One","0"
10000,"60 Months",10,"MORTGAGE",33500,"Home Improvement","AZ",14.51,"Eight",36920.15972,725,4,13,6,"None",3696,28.1,16,376,"None","0"
12400,"36 Months",3,"NOne",34650.24,"Debt Consolidation","CA",11.74,"Eight",35389.28472,780,0,22,10,"None",12189,50.9,23,0,"None","0"
17500,"36 Months",10,"MORTGAGE",48000,"Home Improvement","",12.7,"Eight",33034.50069,715,1,17,19,"None",31376,45.7,47,78,"None","0"
25000,"36 Months",4,"NOne",163000,"Home Improvement","CA",4.4,"None",39265.45972,755,0,0,5,"None",865,4.6,10,0,"None","0"
7000,"36 Months",10,"MORTGAGE",80000,"Debt Consolidation","AZ",7.29,"None",36400.38194,785,0,0,6,"None",7439,13.8,33,0,"None","0"
18000,"36 Months",6,"NOne",80000,"0","AL",17.23,"None",30900.22569,725,0,0,14,"None",28337,37.8,21,0,"None","0"
10000,"36 Months",0.5,"MORTGAGE",91000,"Home Improvement","AL",2.94,"None",35231.48333,750,0,0,7,"None",10373,28.7,29,159,"None","0"
10000,"36 Months",10,"MORTGAGE",55000,"0","CA",26.36,"None",36363.125,670,0,80,26,"None",19167,79.5,41,0,"None","0"
24000,"36 Months",10,"NOne",125004,"Debt Consolidation","",10.03,"None",33394.29236,720,0,38,16,"None",18183,34.5,31,483,"None","0"
14000,"36 Months",8,"MORTGAGE",2e+05,"0","AZ",1.21,"None",36161.26667,770,0,0,5,"None",0,0,19,507,"None","0"
8000,"36 Months",0.5,"MORTGAGE",41000,"0","AZ",13.29,"None",34559.20972,710,1,0,11,"None",30362,46.4,27,131,"None","0"
5500,"36 Months",9,"MORTGAGE",90080.61,"0","CA",6.73,"None",37242.37708,770,0,0,3,"None",5199,25.74,7,0,"None","0"
15000,"36 Months",5,"NOne",2e+05,"Debt Consolidation","AL",8.08,"None",36789.14097,715,1,0,8,"None",15870,27.1,11,532,"None","0"
5000,"36 Months",1,"NOne",65000,"Medical","AZ",23.85,"None",36887.48611,710,2,0,12,"None",30878,41.8,25,326,"None","0"
21200,"60 Months",10,"MORTGAGE",47000,"Debt Consolidation","CA",23.11,"None",36304.46319,670,1,0,10,"None",12847,47.1,20,73,"None","0"
4750,"36 Months",0.5,"NOne",16000,"Debt Consolidation","CA",14.55,"None",36497.11042,695,0,0,4,"None",8085,93.5,19,362,"None","0"
10000,"36 Months",6,"MORTGAGE",79700,"Debt Consolidation","CA",5.74,"None",32373.12361,725,0,37,6,"None",21555,56.7,27,246,"None","0"
2000,"36 Months",10,"MORTGAGE",48000,"Renewable Energy","CA",11.75,"None",37373.51736,685,0,57,5,"None",2137,34.5,13,858,"None","0"
2000,"36 Months",4,"NOne",30000,"Home Improvement","",16.48,"None",36532.13333,680,3,58,2,"None",23,7.7,9,0,"None","0"
4550,"36 Months",7,"MORTGAGE",53000,"0","AL",10.82,"None",37509.26944,685,2,43,6,"None",2927,53.2,8,115,"None","0"
2500,"36 Months",1,"MORTGAGE",34000,"Home Improvement","",2.96,"None",33599.09236,800,0,0,8,"None",514,3.2,20,0,"None","0"
14350,"36 Months",10,"MORTGAGE",1e+05,"Debt Consolidation","AZ",14.41,"None",35462.3875,720,2,0,7,"None",10362,44.9,25,899,"None","0"
7400,"36 Months",5,"MORTGAGE",125000,"Debt Consolidation","CA",7.47,"None",34375.15764,720,0,0,4,"None",24344,65.8,16,457,"None","0"
5000,"36 Months",10,"MORTGAGE",33600,"Debt Consolidation","",10.71,"Eight",34932.09375,675,2,10,6,"None",179,44.7,15,396,"None","0"
