"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
2825,"36 Months",3,"MORTGAGE",70000,"Renewable Energy","AL",18,"None",35676.13472,730,2,0,11,"None",50000,10,41,1000,"None","0"
5275,"36 Months",0.5,"MORTGAGE",70000,"Medical","AZ",17.57,"None",33938.34236,735,1,0,12,"None",50000,38,37,18,"None","0"
6225,"36 Months",0.5,"NOne",45000,"0","AL",17.76,"None",37870.23125,715,0,0,10,"None",579,23.2,15,993,"None","0"
7000,"36 Months",2,"NOne",55400,"Debt Consolidation","AZ",10.05,"None",37481.05833,690,0,0,15,"None",8047,33.8,15,74,"None","0"
5000,"36 Months",0.5,"NOne",15000,"Medical","AL",24.4,"None",36161.42986,735,3,0,6,"None",0,0,6,265,"None","0"
25000,"36 Months",10,"MORTGAGE",57000,"Renewable Energy","AZ",8.93,"None",30000,820,0,0,9,"None",185,0.5,18,537,"None","0"
4925,"36 Months",10,"MORTGAGE",84000,"Debt Consolidation","",4.84,"None",33042.52292,725,2,0,13,"None",48251,50.1,28,22,"None","0"
3000,"36 Months",0.5,"NOne",38000,"Medical","AL",19.93,"None",36792.47847,685,0,59,23,"None",772,96.5,29,434,"None","0"
8000,"36 Months",1,"NOne",50000,"Debt Consolidation","AZ",8.04,"Eight",36283.52569,670,1,11,9,"None",1019,4.5,13,42,"None","0"
9850,"36 Months",2,"NOne",70000,"Medical","AL",9.09,"None",33286.2375,795,1,0,12,"None",1790,4.5,22,256,"None","0"
8000,"36 Months",2,"NOne",52000,"Debt Consolidation","AZ",11.31,"None",37819.34306,665,1,0,6,"None",5867,74.3,7,62,"None","0"
4000,"36 Months",0.5,"NOne",14400,"Medical","CA",8.92,"None",38246.37292,670,1,0,8,"None",3614,61.3,13,178,"None","0"
7000,"36 Months",3,"MORTGAGE",63500,"Debt Consolidation","AZ",8.5,"None",32548.27083,680,1,0,9,"Four",14930,79,21,794,"One","0"
19950,"36 Months",10,"MORTGAGE",116000,"0","AL",13.07,"None",30000,725,0,0,7,"None",33989,82.9,16,305,"None","0"
